日期,持仓市值,现金,持仓点数,累计投入
2022-07-21,104513.95722754019,16777.216,35.35262927420064,83222.78400000001
2022-07-22,104743.04226523699,16777.216,35.35262927420064,83222.78400000001
2022-07-25,104596.32885374907,16777.216,35.35262927420064,83222.78400000001
2022-07-26,105213.93928716934,16777.216,35.35262927420064,83222.78400000001
2022-07-27,104926.87593746284,16777.216,35.35262927420064,83222.78400000001
2022-07-28,104816.92926042007,16777.216,35.35262927420064,83222.78400000001
2022-07-29,104161.49151367639,16777.216,35.35262927420064,83222.78400000001
2022-08-01,103805.13701059246,16777.216,35.35262927420064,83222.78400000001
2022-08-02,101600.90057534605,16777.216,35.35262927420064,83222.78400000001
2022-08-03,100767.99262964589,16777.216,35.35262927420064,83222.78400000001
2022-08-04,101363.3309066234,16777.216,35.35262927420064,83222.78400000001
2022-08-05,101936.04350086547,16777.216,35.35262927420064,83222.78400000001
2022-08-08,102086.29217528082,16777.216,35.35262927420064,83222.78400000001
2022-08-09,102037.50554688243,16777.216,35.35262927420064,83222.78400000001
2022-08-10,101677.61578087107,16777.216,35.35262927420064,83222.78400000001
2022-08-11,102855.21186199469,16777.216,35.35262927420064,83222.78400000001
2022-08-12,103201.66762888184,16777.216,35.35262927420064,83222.78400000001
2022-08-15,102833.29323184467,16777.216,35.35262927420064,83222.78400000001
2022-08-16,102994.50122133504,16777.216,35.35262927420064,83222.78400000001
2022-08-17,103450.55013897222,16777.216,35.35262927420064,83222.78400000001
2022-08-18,102683.7516100148,16777.216,35.35262927420064,83222.78400000001
2022-08-19,103000.15764201891,16777.216,35.35262927420064,83222.78400000001
2022-08-22,103438.17671872624,16777.216,35.35262927420064,83222.78400000001
2022-08-23,103624.48507500128,16777.216,35.35262927420064,83222.78400000001
2022-08-24,102816.32396979305,16777.216,35.35262927420064,83222.78400000001
2022-08-25,104020.08099657959,16777.216,35.35262927420064,83222.78400000001
2022-08-26,103998.86941901507,16777.216,35.35262927420064,83222.78400000001
2022-08-29,104272.14524330465,16777.216,35.35262927420064,83222.78400000001
2022-08-30,104527.03770037163,16777.216,35.35262927420064,83222.78400000001
2022-08-31,104202.8540899272,16777.216,35.35262927420064,83222.78400000001
2022-09-01,104435.12086425872,16777.216,35.35262927420064,83222.78400000001
