日期,持仓市值,现金,持仓点数,持仓状态,年份
2011-12-09,91883.3979808617,23921.565104771504,80.81554536665698,1.0,2011
2011-12-12,91410.62704046674,23921.565104771504,80.81554536665698,1.0,2011
2011-12-13,90149.09637729323,23921.565104771504,80.81554536665698,1.0,2011
2011-12-14,89580.96309336564,23921.565104771504,80.81554536665698,1.0,2011
2011-12-15,88697.64918250807,23921.565104771504,80.81554536665698,1.0,2011
2011-12-16,89985.84897565258,23921.565104771504,80.81554536665698,1.0,2011
2011-12-19,89986.65713110626,23921.565104771504,80.81554536665698,1.0,2011
2011-12-20,89741.78602864529,23921.565104771504,80.81554536665698,1.0,2011
2011-12-21,88928.78164225671,23921.565104771504,80.81554536665698,1.0,2011
2011-12-22,88677.4452961664,23921.565104771504,80.81554536665698,1.0,2011
2011-12-23,89096.87797661936,23921.565104771504,80.81554536665698,1.0,2011
2011-12-26,88805.13385784572,23921.565104771504,80.81554536665698,1.0,2011
2011-12-27,87693.11195360053,23921.565104771504,80.81554536665698,1.0,2011
2011-12-28,87206.60237049326,23921.565104771504,80.81554536665698,1.0,2011
2011-12-29,87165.38644235626,23921.565104771504,80.81554536665698,1.0,2011
2011-12-30,88013.94966870616,23921.565104771504,80.81554536665698,1.0,2011
2012-01-04,86924.55611716362,23921.565104771504,80.81554536665698,1.0,2012
2012-01-05,85987.90394636407,23921.565104771504,80.81554536665698,1.0,2012
2012-01-06,86224.69349428837,23921.565104771504,80.81554536665698,1.0,2012
2012-01-09,88159.41765036613,23921.565104771504,80.81554536665698,1.0,2012
2012-01-10,89938.16780388626,23921.565104771504,80.81554536665698,1.0,2012
2012-01-11,89634.30135330763,23921.565104771504,80.81554536665698,1.0,2012
2012-01-12,89606.0159124293,23921.565104771504,80.81554536665698,1.0,2012
2012-01-13,88348.52602652411,23921.565104771504,80.81554536665698,1.0,2012
2012-01-16,87185.59032869792,23921.565104771504,80.81554536665698,1.0,2012
2012-01-17,89737.74525137695,23921.565104771504,80.81554536665698,1.0,2012
2012-01-18,88729.16724520107,23921.565104771504,80.81554536665698,1.0,2012
2012-01-19,89677.94174780563,23921.565104771504,80.81554536665698,1.0,2012
2012-01-20,90635.60596040051,23921.565104771504,80.81554536665698,1.0,2012
